image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_06237.jpg,0.999790966511,4.19191170664e-09,7.27174136878e-12,1.81750636763e-09,3.41767538714e-08,0.000209043268114,3.53924140802e-16,8.52410941832e-09
img_06893.jpg,3.88019589082e-06,2.69439276446e-10,2.87254421638e-11,2.10722100746e-06,0.999993681908,2.77290666872e-07,5.66688419822e-15,2.43109623144e-13
img_02082.jpg,0.99775749445,1.26224835029e-08,9.97211601489e-12,2.49760412352e-09,1.02988303752e-06,0.00224141497165,1.10350688587e-08,1.39451108438e-08
img_06261.jpg,1.35850214633e-07,2.26613572352e-08,0.000194542735699,1.36750472057e-11,6.24300082563e-06,1.25037313836e-10,3.27813436118e-11,0.999799072742
img_03628.jpg,5.40168821317e-06,2.46585022978e-06,4.35203305685e-12,1.500035339e-11,2.59954958892e-07,8.07256692048e-12,0.999991893768,8.72150494047e-08
img_04860.jpg,1.43561801451e-05,4.75373917747e-13,2.11183799398e-13,2.49132692108e-16,0.999985694885,2.87058115993e-12,1.35398481316e-15,6.4122001979e-12
img_01640.jpg,0.975800573826,0.0241943169385,1.05652587373e-11,1.13908225075e-08,6.44270585326e-07,4.43299040853e-06,1.43612561079e-11,3.91801826538e-08
img_02709.jpg,0.998127162457,8.47234218782e-07,7.40375885599e-11,1.46979415305e-08,0.00184947496746,2.23732567974e-05,4.55064217419e-08,1.18142118311e-07
img_00030.jpg,0.999997973442,5.30643660568e-07,1.12026393847e-17,1.45621243064e-06,1.31179227481e-08,1.93925053793e-08,1.27918074038e-18,1.26619319474e-08
img_04740.jpg,0.998965859413,6.26718610874e-05,1.93565629161e-05,7.26638882398e-09,0.000833334459458,9.69086613622e-06,1.38679752126e-07,0.000108902851935
img_07746.jpg,0.0233454480767,2.09748736779e-06,2.85015927526e-10,8.23462652233e-12,0.976635217667,1.57787837907e-07,2.45416187372e-10,1.70576822711e-05
img_02830.jpg,1.8482572417e-10,1.1909994475e-12,4.88072360305e-10,1.52430037485e-15,5.0431420151e-10,2.41959542679e-11,5.89788236492e-15,1.0
img_03195.jpg,2.77110757452e-07,3.92656230881e-13,6.83518530743e-17,1.03411026526e-17,0.999999761581,2.13550812589e-08,2.22848545071e-16,6.19528965589e-19
img_06851.jpg,3.93828925027e-09,2.91967570121e-08,0.000765752571169,9.45821459347e-12,4.83295892195e-08,2.84883201014e-13,2.26373238731e-12,0.999234199524
img_00075.jpg,1.06989222169e-12,1.22033378411e-13,1.80807680026e-12,4.63270800336e-16,7.32476484523e-14,3.88497393977e-12,1.88192840544e-16,1.0
img_05989.jpg,0.999876022339,2.43652942267e-09,4.000204612e-10,5.1877370455e-11,4.97629883967e-08,4.58143404103e-05,3.85612984246e-05,3.95287606807e-05
img_03254.jpg,2.40693776021e-09,6.27629476169e-11,1.09830278205e-08,2.27612546866e-11,2.76031960311e-06,3.05287395364e-09,2.44559553815e-14,0.999997258186
