image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.990000009537,0.00999999977648,0.00999999977648,0.00999999977648
img_00007.jpg,0.135699912906,0.813383042812,0.00999999977648,0.00999999977648,0.00999999977648,0.0349007919431,0.00999999977648,0.0158183854073
img_00009.jpg,0.983918309212,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648
img_00018.jpg,0.945581078529,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.0303385574371,0.00999999977648,0.0144696580246
img_00027.jpg,0.591507852077,0.00999999977648,0.00999999977648,0.00999999977648,0.0144181866199,0.0698620378971,0.0153611563146,0.307857453823
img_00030.jpg,0.468969017267,0.00999999977648,0.00999999977648,0.00999999977648,0.419347852468,0.00999999977648,0.0293209329247,0.081694804132
img_00040.jpg,0.531484782696,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.0700323209167,0.0174227003008,0.368157207966
img_00046.jpg,0.618130862713,0.00999999977648,0.00999999977648,0.00999999977648,0.365047901869,0.00999999977648,0.00999999977648,0.0112558770925
img_00053.jpg,0.990000009537,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648
img_00071.jpg,0.00999999977648,0.00999999977648,0.00999999977648,0.990000009537,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648
img_00075.jpg,0.403110325336,0.00999999977648,0.00999999977648,0.00999999977648,0.0400311760604,0.54143768549,0.00999999977648,0.012294255197
img_00102.jpg,0.238062247634,0.0460872091353,0.00999999977648,0.00999999977648,0.0113994125277,0.00999999977648,0.0209658592939,0.680395722389
img_00103.jpg,0.959682524204,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.0299742668867
img_00109.jpg,0.990000009537,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648
img_00119.jpg,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.990000009537,0.00999999977648,0.00999999977648,0.00999999977648
img_00120.jpg,0.179726153612,0.00999999977648,0.00999999977648,0.00999999977648,0.00999999977648,0.056835860014,0.00999999977648,0.749061822891
